last_name,first_name,Team,26,Average,27,Average,28,Average,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Mustafi, Shkodran,ARS,0.8,0.8,0.7,0.8,0.0,0.5,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,£5.1,0.157,0.157,0.098,0.118,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
Bellerín, Héctor,ARS,0.7,0.7,0.6,0.6,0.0,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,£5.4,0.130,0.111,0.074,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093
Kolasinac, Sead,ARS,1.3,1.3,1.1,1.2,0.0,0.8,1.2,0.9,0.7,0.9,0.7,0.8,1.0,0.9,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.8,1.0,0.8,0.8,0.8,£5.2,0.250,0.231,0.154,0.173,0.173,0.154,0.173,0.154,0.154,0.154,0.154,0.154,0.154
Maitland-Niles, Ainsley,ARS,3.3,3.3,2.9,3.1,0.0,2.1,3.1,2.3,2.0,2.3,2.0,2.2,2.8,2.3,1.8,2.2,2.2,2.2,2.6,2.3,2.3,2.3,2.8,2.3,2.4,2.3,£4.6,0.717,0.674,0.457,0.500,0.500,0.478,0.500,0.478,0.478,0.500,0.500,0.500,0.500
Sokratis,,ARS,3.8,3.8,3.4,3.6,0.0,2.4,3.6,2.7,2.4,2.6,2.4,2.6,3.2,2.7,2.2,2.6,2.6,2.6,3.0,2.7,2.8,2.7,3.3,2.7,2.8,2.7,£4.9,0.776,0.735,0.490,0.551,0.531,0.531,0.551,0.531,0.531,0.551,0.551,0.551,0.551
Monreal, Nacho,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Koscielny, Laurent,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mavropanos, Konstantinos,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jenkinson, Carl,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Holding, Rob,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
