last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Özil, Mesut,ARS,2.0,2.0,1.0,1.5,0.0,1.0,1.3,1.1,1.0,1.1,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0,1.4,1.0,£7.2,0.278,0.208,0.139,0.153,0.153,0.139,0.139,0.139,0.139,0.139
Mkhitaryan, Henrikh,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£6.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Xhaka, Granit,ARS,2.5,2.5,1.3,1.9,0.0,1.3,1.8,1.4,1.4,1.4,1.3,1.4,1.0,1.3,1.1,1.3,1.0,1.3,1.9,1.3,£5.1,0.490,0.373,0.255,0.275,0.275,0.275,0.255,0.255,0.255,0.255
Torreira, Lucas,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.9,0.3,0.9,0.4,0.9,0.4,1.5,0.5,£4.7,0.000,0.000,0.000,0.000,0.000,0.043,0.064,0.085,0.085,0.106
Elneny, Mohamed,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Guendouzi, Matteo,ARS,2.4,2.4,1.2,1.8,0.0,1.2,1.6,1.3,1.3,1.3,1.2,1.3,1.0,1.2,1.0,1.2,1.0,1.2,1.8,1.2,£4.3,0.558,0.419,0.279,0.302,0.302,0.302,0.279,0.279,0.279,0.279
Ceballos,,ARS,1.2,1.2,0.6,0.9,0.0,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,£5.2,0.231,0.173,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115
Pépé, Nicolas,ARS,6.0,6.0,3.3,4.6,0.0,3.1,4.2,3.4,3.5,3.4,3.3,3.4,2.5,3.3,2.9,3.2,2.7,3.2,4.4,3.3,£9.2,0.652,0.500,0.337,0.370,0.370,0.370,0.359,0.348,0.348,0.359
Nelson, Reiss,ARS,0.6,0.6,0.3,0.4,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£5.3,0.113,0.075,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057
Willock, Joseph,ARS,0.8,0.8,0.4,0.6,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,£4.7,0.170,0.128,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
Saka, Bukayo,ARS,1.5,1.5,0.7,1.1,0.0,0.7,1.0,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.7,0.8,0.7,0.8,1.1,0.8,£4.6,0.326,0.239,0.152,0.174,0.174,0.174,0.174,0.174,0.174,0.174
Smith Rowe, Emile,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
