last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Mustafi, Shkodran,ARS,0.0,0.0,0.5,0.2,0.0,0.2,0.6,0.3,0.5,0.3,0.5,0.4,0.5,0.4,0.5,0.4,0.6,0.4,0.5,0.4,£5.1,0.000,0.039,0.039,0.059,0.059,0.078,0.078,0.078,0.078,0.078
Bellerín, Héctor,ARS,1.0,1.0,0.4,0.7,0.0,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.4,£5.4,0.185,0.130,0.093,0.093,0.093,0.074,0.093,0.074,0.093,0.074
Kolasinac, Sead,ARS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.6,0.3,0.8,0.4,0.9,0.5,0.8,0.5,1.0,0.6,0.8,0.6,£5.2,0.000,0.000,0.000,0.038,0.058,0.077,0.096,0.096,0.115,0.115
Maitland-Niles, Ainsley,ARS,5.1,5.1,2.1,3.6,0.0,2.4,2.9,2.5,1.7,2.4,2.4,2.4,2.7,2.4,2.5,2.4,2.8,2.5,2.5,2.5,£4.5,1.133,0.800,0.533,0.556,0.533,0.533,0.533,0.533,0.556,0.556
Sokratis,,ARS,6.0,6.0,2.5,4.2,0.0,2.8,3.4,3.0,2.0,2.8,2.8,2.8,3.1,2.8,3.0,2.8,3.3,2.9,3.0,2.9,£4.8,1.250,0.875,0.583,0.625,0.583,0.583,0.583,0.583,0.604,0.604
Monreal, Nacho,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Koscielny, Laurent,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mavropanos, Konstantinos,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jenkinson, Carl,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Holding, Rob,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Luiz,,ARS,6.3,6.3,2.6,4.4,0.0,3.0,3.6,3.1,2.1,2.9,2.9,2.9,3.3,3.0,3.1,3.0,3.4,3.0,3.2,3.0,£5.7,1.105,0.772,0.526,0.544,0.509,0.509,0.526,0.526,0.526,0.526
Chambers, Calum,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cédric,,ARS,0.0,0.0,2.2,1.1,0.0,0.7,3.1,1.3,1.8,1.4,2.5,1.6,2.8,1.8,2.7,1.9,3.0,2.0,2.7,2.1,£4.8,0.000,0.229,0.146,0.271,0.292,0.333,0.375,0.396,0.417,0.438
Tierney, Kieran,ARS,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£5.3,0.000,0.000,0.000,0.000,0.019,0.019,0.019,0.019,0.019,0.019
Marí, Pablo,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
El Mohamady, Ahmed,AVL,0.4,0.4,0.4,0.4,0.0,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,£4.2,0.095,0.095,0.071,0.071,0.071,0.071,0.071,0.095,0.095,0.095
Chester, James,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Taylor, Neil,AVL,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£4.3,0.070,0.070,0.047,0.047,0.047,0.047,0.070,0.070,0.070,0.070
Hause, Kortney,AVL,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£4.4,0.068,0.068,0.045,0.045,0.045,0.045,0.068,0.068,0.068,0.068
Targett, Matt,AVL,2.6,2.6,3.5,3.0,0.0,2.0,3.1,2.3,2.7,2.4,3.9,2.6,3.7,2.8,2.7,2.8,3.0,2.8,3.3,2.8,£4.4,0.591,0.682,0.455,0.523,0.545,0.591,0.636,0.636,0.636,0.636
Mings, Tyrone,AVL,1.7,1.7,2.4,2.0,0.0,1.4,2.1,1.5,1.8,1.6,2.8,1.8,2.6,1.9,1.8,1.9,2.1,1.9,2.3,2.0,£4.5,0.378,0.444,0.311,0.333,0.356,0.400,0.422,0.422,0.422,0.444
Konsa,,AVL,0.6,0.6,0.7,0.6,0.0,0.4,0.6,0.5,0.6,0.5,0.8,0.5,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,£4.3,0.140,0.140,0.093,0.116,0.116,0.116,0.140,0.140,0.140,0.140
Engels, Bjorn,AVL,1.8,1.8,2.6,2.2,0.0,1.5,2.3,1.7,1.9,1.7,2.9,1.9,2.7,2.0,2.0,2.0,2.2,2.0,2.4,2.1,£4.4,0.409,0.500,0.341,0.386,0.386,0.432,0.455,0.455,0.455,0.477
Guilbert, Frédéric,AVL,1.4,1.4,2.0,1.7,0.0,1.1,1.7,1.3,1.5,1.3,2.3,1.5,2.1,1.6,1.5,1.6,1.7,1.6,1.9,1.6,£4.4,0.318,0.386,0.250,0.295,0.295,0.341,0.364,0.364,0.364,0.364
Steve Cook,,BOU,1.5,1.5,1.9,1.7,1.1,1.5,2.6,1.8,1.2,1.7,2.5,1.8,1.7,1.8,1.3,1.7,1.4,1.7,1.5,1.7,£5.0,0.300,0.340,0.300,0.360,0.340,0.360,0.360,0.340,0.340,0.340
Aké, Nathan,BOU,2.6,2.6,3.3,3.0,2.1,2.7,4.2,3.0,2.3,2.9,4.1,3.1,3.0,3.1,2.3,3.0,2.4,2.9,2.6,2.9,£4.8,0.542,0.625,0.563,0.625,0.604,0.646,0.646,0.625,0.604,0.604
Daniels, Charlie,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mepham, Chris,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.7,0.2,0.5,0.2,0.5,0.3,0.5,0.3,0.5,0.3,£4.3,0.000,0.000,0.000,0.000,0.023,0.047,0.047,0.070,0.070,0.070
Francis, Simon,BOU,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£4.4,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068
Adam Smith,,BOU,1.6,1.6,2.0,1.8,1.2,1.6,2.8,1.9,1.3,1.8,2.7,1.9,1.9,1.9,1.4,1.9,1.5,1.8,1.6,1.8,£4.3,0.372,0.419,0.372,0.442,0.419,0.442,0.442,0.442,0.419,0.419
Kelly, Lloyd,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rico, Diego,BOU,2.5,2.5,3.1,2.8,2.0,2.5,4.0,2.9,2.1,2.7,3.9,2.9,2.8,2.9,2.2,2.8,2.3,2.8,2.5,2.7,£4.2,0.595,0.667,0.595,0.690,0.643,0.690,0.690,0.667,0.667,0.643
Simpson, Jack,BOU,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
Stacey, Jack,BOU,0.5,0.5,0.6,0.6,0.5,0.5,0.9,0.6,0.5,0.6,0.9,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,£4.3,0.116,0.140,0.116,0.140,0.140,0.140,0.140,0.140,0.140,0.140
