last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Aubameyang, Pierre-Emerick,ARS,16.3,16.3,7.4,11.9,0.0,7.9,8.9,8.2,6.9,7.9,7.4,7.8,7.3,7.7,7.1,7.7,7.1,7.6,8.7,7.7,£11.1,1.468,1.072,0.712,0.739,0.712,0.703,0.694,0.694,0.685,0.694
Lacazette, Alexandre,ARS,8.5,8.5,3.7,6.1,0.0,4.1,5.2,4.4,3.4,4.2,3.7,4.1,3.9,4.1,3.5,4.0,3.6,3.9,4.6,4.0,£9.3,0.914,0.656,0.441,0.473,0.452,0.441,0.441,0.430,0.419,0.430
Nketiah, Edward,ARS,0.4,0.4,0.2,0.3,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,£4.3,0.093,0.070,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047
Martinelli,,ARS,2.0,2.0,0.8,1.4,0.0,0.9,1.4,1.0,0.7,1.0,0.8,0.9,0.9,0.9,0.7,0.9,0.8,0.9,1.1,0.9,£4.5,0.444,0.311,0.200,0.222,0.222,0.200,0.200,0.200,0.200,0.200
John-Jules, Tyreece,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kodjia, Jonathan,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Wesley,,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.7,3.6,1.1,2.4,1.2,3.7,1.5,2.7,1.6,£5.5,0.000,0.000,0.000,0.000,0.000,0.127,0.200,0.218,0.273,0.291
Samatta, Mbwana,AVL,3.3,3.3,4.9,4.1,0.0,2.7,4.7,3.2,3.0,3.2,5.4,3.5,5.0,3.8,3.4,3.7,5.0,3.9,3.9,3.9,£5.9,0.559,0.695,0.458,0.542,0.542,0.593,0.644,0.627,0.661,0.661
Bastón,,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Callum Wilson,,BOU,2.4,2.4,3.7,3.0,2.8,3.0,3.5,3.1,2.7,3.0,4.1,3.2,3.2,3.2,3.2,3.2,3.9,3.3,2.7,3.2,£7.4,0.324,0.405,0.405,0.419,0.405,0.432,0.432,0.432,0.446,0.432
King, Joshua,BOU,2.7,2.7,4.2,3.4,3.2,3.4,4.0,3.5,3.1,3.4,4.7,3.6,3.6,3.6,3.7,3.6,4.4,3.7,3.1,3.7,£6.1,0.443,0.557,0.557,0.574,0.557,0.590,0.590,0.590,0.607,0.607
Solanke, Dominic,BOU,0.7,0.7,1.0,0.8,0.7,0.8,0.9,0.8,0.7,0.8,1.2,0.9,0.8,0.9,0.8,0.8,1.1,0.9,0.7,0.9,£5.2,0.135,0.154,0.154,0.154,0.154,0.173,0.173,0.154,0.173,0.173
Surridge, Sam,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Murray, Glenn,BHA,0.5,0.5,0.6,0.6,0.0,0.4,0.7,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,£5.4,0.093,0.111,0.074,0.074,0.093,0.093,0.093,0.093,0.093,0.093
Locadia, Jürgen,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£5.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Andone, Florin,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Maupay, Neal,BHA,3.4,3.4,4.3,3.8,0.0,2.6,4.7,3.1,4.1,3.3,3.5,3.3,4.3,3.5,4.5,3.6,4.1,3.7,3.4,3.6,£5.8,0.586,0.655,0.448,0.534,0.569,0.569,0.603,0.621,0.638,0.621
Connolly, Aaron,BHA,1.7,1.7,2.3,2.0,0.0,1.3,2.5,1.6,2.1,1.7,1.7,1.7,2.3,1.8,2.4,1.9,2.1,1.9,1.7,1.9,£4.3,0.395,0.465,0.302,0.372,0.395,0.395,0.419,0.442,0.442,0.442
Barnes, Ashley,BUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,2.3,0.8,3.3,1.1,3.3,1.3,3.7,1.6,£6.1,0.000,0.000,0.000,0.000,0.000,0.082,0.131,0.180,0.213,0.262
Wood, Chris,BUR,5.3,5.3,4.3,4.8,5.1,4.9,4.1,4.7,3.7,4.5,4.1,4.4,3.3,4.3,4.5,4.3,4.5,4.3,5.0,4.4,£6.1,0.869,0.787,0.803,0.770,0.738,0.721,0.705,0.705,0.705,0.721
Vydra, Matej,BUR,0.6,0.6,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,£5.3,0.113,0.094,0.094,0.094,0.094,0.075,0.075,0.075,0.075,0.075
Rodriguez, Jay,BUR,2.2,2.2,1.7,2.0,2.1,2.0,1.5,1.9,1.3,1.8,1.6,1.7,1.2,1.7,1.8,1.7,1.8,1.7,2.0,1.7,£5.7,0.386,0.351,0.351,0.333,0.316,0.298,0.298,0.298,0.298,0.298
Giroud, Olivier,CHE,2.8,2.8,2.5,2.6,0.0,1.8,2.6,2.0,2.9,2.2,2.5,2.2,2.0,2.2,3.4,2.3,2.0,2.3,2.5,2.3,£6.5,0.431,0.400,0.277,0.308,0.338,0.338,0.338,0.354,0.354,0.354
Abraham, Tammy,CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.0,5.2,1.6,7.5,2.4,5.3,2.7,6.3,3.1,£7.5,0.000,0.000,0.000,0.000,0.000,0.133,0.213,0.320,0.360,0.413
Batshuayi, Michy,CHE,0.5,0.5,0.5,0.5,0.0,0.3,0.5,0.4,0.6,0.4,0.5,0.4,0.5,0.4,0.7,0.5,0.5,0.5,0.5,0.5,£6.6,0.076,0.076,0.045,0.061,0.061,0.061,0.061,0.076,0.076,0.076
