last_name,first_name,Team,29,Average,30,Average,31,Average,32,Average,33,Average,34,Average,35,Average,36,Average,37,Average,38,Average,Price,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Leno, Bernd,ARS,8.2,8.2,3.4,5.8,0.0,3.9,4.6,4.0,2.9,3.8,3.9,3.8,4.3,3.9,4.1,3.9,4.2,4.0,4.1,4.0,£5.0,1.640,1.160,0.780,0.800,0.760,0.760,0.780,0.780,0.800,0.800
Martínez, Emiliano,ARS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nyland, Ørjan,AVL,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,£4.3,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
Heaton, Tom,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.6,3.4,1.0,2.5,1.2,2.7,1.4,3.0,1.5,£4.3,0.000,0.000,0.000,0.000,0.000,0.140,0.233,0.279,0.326,0.349
Steer, Jed,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kalinic, Lovre,AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Reina, José,AVL,0.3,0.3,0.3,0.3,0.0,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,£4.5,0.067,0.067,0.044,0.044,0.044,0.044,0.067,0.067,0.067,0.067
Begovic, Asmir,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Boruc, Artur,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Travers, Mark,BOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,£4.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
