,name,last_name,first_name,Team,Average,Price,Pos,id
0,Bernd Leno,Leno,Bernd,ARS,4.0,5.0,G,14
1,Emiliano Martinez,Martinez,Emiliano,ARS,0.0,4.3,G,427
2,Orjan Nyland,Nyland,Orjan,AVL,0.1,4.3,G,27
3,Tom Heaton,Heaton,Tom,AVL,1.5,4.3,G,94
4,Jed Steer,Steer,Jed,AVL,0.0,4.3,G,429
5,Lovre Kalinic,Kalinic,Lovre,AVL,0.0,4.3,G,474
6,Jose Reina,Reina,Jose,AVL,0.3,4.5,G,603
7,Asmir Begovic,Begovic,Asmir,BOU,0.0,4.2,G,72
8,Artur Boruc,Boruc,Artur,BOU,0.0,4.3,G,73
9,Mark Travers,Travers,Mark,BOU,0.0,4.2,G,74
10,Aaron Ramsdale,Ramsdale,Aaron,BOU,3.6,4.6,G,494
11,Mathew Ryan,Ryan,Mathew,BHA,3.0,4.8,G,47
12,David Button,Button,David,BHA,0.0,3.9,G,48
13,Nick Pope,Pope,Nick,BUR,5.2,4.8,G,93
14,Joe Hart,Hart,Joe,BUR,0.0,4.2,G,95
15,Bailey Peacock-Farrell,Peacock-Farrell,Bailey,BUR,0.0,4.3,G,495
16,Kepa,Kepa,,CHE,2.3,5.4,G,111
17,Willy Caballero,Caballero,Willy,CHE,0.1,4.8,G,112
18,Vicente Guaita,Guaita,Vicente,CRY,4.6,5.1,G,131
19,Wayne Hennessey,Hennessey,Wayne,CRY,0.1,4.2,G,132
20,Stephen Henderson,Henderson,Stephen,CRY,0.0,4.0,G,556
21,Jordan Pickford,Pickford,Jordan,EVE,2.5,5.3,G,148
22,Maarten Stekelenburg,Stekelenburg,Maarten,EVE,0.0,4.0,G,149
23,Jonas Lossl,Lossl,Jonas,EVE,0.0,4.3,G,479
24,Virginia,Virginia,,EVE,0.0,4.0,G,0
25,Kasper Schmeichel,Schmeichel,Kasper,LEI,4.0,5.3,G,168
26,Eldin Jakupovic,Jakupovic,Eldin,LEI,0.0,4.2,G,169
27,Danny Ward,Ward,Danny,LEI,0.0,4.2,G,170
28,Alisson,Alisson,,LIV,5.2,6.2,G,189
29,Simon Mignolet,Mignolet,Simon,LIV,0.0,4.5,G,190
30,Adrian,Adrian,,LIV,0.4,4.0,G,526
31,Andy Lonergan,Lonergan,Andy,LIV,0.0,4.2,G,530
32,Caoimhin Kelleher,Kelleher,Caoimhin,LIV,0.0,4.4,G,531
33,Ederson,Ederson,,MCI,3.3,6.0,G,212
34,Claudio Bravo,Bravo,Claudio,MCI,0.2,4.7,G,213
35,Scott Carson,Carson,Scott,MCI,0.0,4.0,G,562
36,David de Gea,de Gea,David,MUN,3.1,5.4,G,235
37,Sergio Romero,Romero,Sergio,MUN,0.0,4.7,G,236
38,Lee Grant,Grant,Lee,MUN,0.0,4.8,G,237
39,Martin Dubravka,Dubravka,Martin,NEW,3.7,5.0,G,262
40,Karl Darlow,Darlow,Karl,NEW,0.0,4.3,G,263
41,Frederick Woodman,Woodman,Frederick,NEW,0.0,4.0,G,264
42,Robert Elliot,Elliot,Robert,NEW,0.0,4.0,G,573
43,Tim Krul,Krul,Tim,NOR,2.9,4.5,G,280
44,Michael McGovern,McGovern,Michael,NOR,0.2,4.0,G,281
45,Ralf Fahrmann,Fahrmann,Ralf,NOR,0.0,4.4,G,449
46,Archie Mair,Mair,Archie,NOR,0.0,4.0,G,551
47,Jake Eastwood,Eastwood,Jake,SHU,0.0,4.3,G,299
48,Simon Moore,Moore,Simon,SHU,0.0,4.3,G,436
49,Dean Henderson,Henderson,Dean,SHU,4.6,5.2,G,471
50,Michael Verrips,Verrips,Michael,SHU,0.0,4.4,G,521
51,Fraser Forster,Forster,Fraser,SOU,0.0,4.3,G,317
52,Alex McCarthy,McCarthy,Alex,SOU,2.7,4.5,G,318
53,Angus Gunn,Gunn,Angus,SOU,0.5,4.2,G,319
54,Harry Lewis,Lewis,Harry,SOU,0.0,4.0,G,548
55,Hugo Lloris,Lloris,Hugo,TOT,1.0,5.3,G,340
56,Paulo Gazzaniga,Gazzaniga,Paulo,TOT,3.2,4.2,G,341
57,Alfie Whiteman,Whiteman,Alfie,TOT,0.0,4.0,G,543
58,Michel Vorm,Vorm,Michel,TOT,0.0,4.3,G,555
59,Brandon Austin,Austin,Brandon,TOT,0.0,4.0,G,558
60,Ben Foster,Foster,Ben,WAT,4.2,4.9,G,366
